id_NUMBER,ITEM_NAME,TITLE,MAKER,DATE_MADE,PLACE_MADE,MATERIALS,MEASUREMENTS,DESCRIPTION,WHOLE_PART,COLLECTION
1938-396,Compass horizontal sundial,"Pocket Sundial, square, metal gilt, in case, Johann Martin","Martin, Johann",1670-1721,"Augsburg, Schwaben, Bavaria, Germany",,length 40 mm; width 40 mm; height 10 mm; diameter 40 mm,"Pocket Sundial, square, metal gilt, in case, Johann Martin",WHOLE,SCM - Time Measurement
1938-397,String style horizontal sundial,"Horizontal Sundial, octagonal, in case. Marked ""Johannes Wil","Will, Johannes",,"Heidelberg, Karlsruhe, Baden-Württemberg, Germany",,length 50 mm; width 50 mm; height 50 mm; diameter 20 mm,"Horizontal Sundial, octagonal, in case. Marked ""Johannes Will"" Heidelberg",WHOLE,SCM - Time Measurement
1938-398,Universal ring sundial,"Universal Ring Dial, 2 3/4"" diam., ""Johann Somer. Augspurg""","Sommer, Johann",1651-1700,"Augsburg, Schwaben, Bavaria, Germany",,"overall: 71 mm x 96 mm x 9 mm,","Universal Ring Dial, 2 3/4"" diam., ""Johann Somer. Augspurg""",WHOLE,SCM - Time Measurement
1938-399,Augsburg equinoctial sundial,"Universal Compass Sundial, with wind-vane, ""Lorez Grasl"", in","Grassl, Lorenz",1751-1800,"Augsburg, Schwaben, Bavaria, Germany",,"overall: 19 mm x 82 mm x 83 mm,","Universal Compass Sundial, with wind-vane, ""Lorez Grasl"", in case",WHOLE,SCM - Time Measurement
1938-400,Ivory diptych sundial,"Tablet Sundial, ivory, engraved and coloured, 4 3/4""x3"" (chi","Ducher, Hans",1537-1632,"Nuremburg, Bavaria, Germany",,length 60 mm; width 120 mm; height 10 mm,"Tablet Sundial, ivory, engraved and coloured, 4 3/4""x3"" (chipped)",WHOLE,SCM - Time Measurement
1938-419,Universal ring sundial,"Universal Ring Dial, 4 1/2"" diam.",,,,,"overall: 113 mm x 124 mm x 7 mm,","Universal Ring Dial, 4 1/2"" diam.",WHOLE,SCM - Time Measurement
1938-420,Analemmatic sundial,"Horizontal and analemmatic sundial, ""Engelbrecht, 1800"" (plu","Engelbrecht, Johann II",1800,"Beaune, Côte-d'Or, Burgundy, France",,"overall: 25 mm x 154 mm x 180 mm,","Horizontal and analemmatic sundial, ""Engelbrecht, 1800"" (plummet missing)",WHOLE,SCM - Time Measurement
1938-421,Universal ring sundial,"Universal Ring Dial, with three rings, 6"" diam.",,,,,"overall: 158 mm x 180 mm x 19 mm,","Universal Ring Dial, with three rings, 6"" diam.",WHOLE,SCM - Time Measurement
1938-422,Inclined plate equinoctial sundial,"Universal Dial, signed ""N. Bion, Paris""","Bion, Nicolas",1680-1733,"Paris, Ville de Paris, Île-de-France, France",,"overall: 120 mm x 93 mm x 93 mm,","Universal Dial, signed ""N. Bion, Paris""",WHOLE,SCM - Time Measurement
1995-417,,"Log table and perpetual calendar, engraved on a tobacco box",,1806,,,"overall: 31 mm x 48 mm x 160 mm,","Log table and perpetual calendar, engraved on a tobacco box. Dutch, 1806",WHOLE,SCM - Time Measurement
1995-477,,Turret clock movement made in 1899 by J,"Benson, James William (maker)",1899,"London, Greater London, England, United Kingdom",,,"Turret clock movement made in 1899 by J.W. Benson, Ludgate Hill, London, Clockmaker to the Queen and Prince of Wales, and installed in a clocktower erected in Lewisham to commemorate Queen Victoria's Diamond Jubilee, later fitted with electrical rewind but with original winding drum and brackets",WHOLE,SCM - Time Measurement
1930-401,,Early electrical apparatus,,,,,,Early electrical apparatus,WHOLE,SCM - Rayleigh
1930-402,,Early electrical interrupter apparatus,,,,,,Early electrical interrupter apparatus,WHOLE,SCM - Rayleigh
1930-403,,Electrical interrupter,,,,,,Electrical interrupter,WHOLE,SCM - Rayleigh
1938-717,Universal ring sundial,"3 1/2"" Universal Ring Dial, engraved ""J. Jackson, London""","Jackson, J.",1701-1800,"London, Greater London, England, United Kingdom",,"overall: 122 mm x 92 mm x 9 mm,","3 1/2"" Universal Ring Dial, engraved ""J. Jackson, London""",WHOLE,SCM - Time Measurement
1938-718,Universal ring sundial,"6"" Universal Ring Dial, engraved ""Hilkiah Bedford in Fleet S","Bedford, Hilkiah",1656-1680,,,"overall: 195 mm x 160 mm x 10 mm,","6"" Universal Ring Dial, engraved ""Hilkiah Bedford in Fleet Street near Fetter Lane End""",WHOLE,SCM - Time Measurement
1938-722,Butterfield horizontal sundial,"Octagonal Pocket Sundial, Butterfield type, brass, English,",,,,,"overall: 80 mm x 66 mm x 13 mm,","Octagonal Pocket Sundial, Butterfield type, brass, English, in case",WHOLE,SCM - Time Measurement
1938-723,Universal equinoctial sundial,"Universal Sundial and Compass, 5"" square base, in case",,,,,box: length 140 mm; box: width 140 mm; box: width 100 mm; length 110 mm; width 110 mm; height 110 mm,"Universal Sundial and Compass, 5"" square base, in case",WHOLE,SCM - Time Measurement
1938-755,,"Astronomical Clock, English, second half of 18th century",,,,,,"Astronomical Clock, English, second half of 18th century",WHOLE,SCM - Time Measurement
1942-45,Compass horizontal sundial,Early Persian brass sundial compass (compass needle missing),,,Iran,,"overall: 18 mm x 80 mm x 87 mm,",Early Persian brass sundial compass (compass needle missing),WHOLE,SCM - Time Measurement
1952-224,Universal ring sundial,"Astronomical Ring, brass, nearly 5-inches diameter; inscribe","Arsenius, Gualterus; Arsenius, Ferdinand",1561,,"brass (copper, zinc alloy)","overall: 125 mm x 125 mm x 25 mm,","Astronomical Ring, brass, nearly 5-inches diameter; inscribed: ""Nepos Gemae F. Louany fecit 1561"" (indicating that it was made by one of the Arsenius brothers) with modern suspension ring",WHOLE,SCM - Time Measurement
1952-230,Ivory diptych sundial,Ivory Tablet Compass Sundial in the form of a book; 4 3/8x3,"Reinman, Paul",1599,"Nuremburg, Bavaria, Germany",,"overall: 110 mm x 84 mm x 18 mm,","Ivory Tablet Compass Sundial in the form of a book; 4 3/8x3 1/4x5/8 inches. Inscribed: "" Paulus Reinman Norimbergae Faciebat"". Epacts for year 1599 are given round dial",WHOLE,SCM - Time Measurement
1955-304,Magnetic horizontal sundial,Pocket sundial with floating dial on compass about 1830,,1801-1850,Germany,,length 50 mm; width 50 mm; height 40 mm,Pocket sundial with floating dial on compass about 1830,WHOLE,SCM - Time Measurement
1959-270,painting,"Painting, showing the use of the  merkhet in ancient Egypt,","Birch, Carrington",c. 1960,"London, Greater London, England, United Kingdom",watercolour on hardboard,overall: 445 x 620 mm,"Painting, showing the use of the  merkhet in ancient Egypt, by Carrington Birch, n.d. [c1960?]. - Watercolour on hardboard, 44.5x62cm. - Signed by artist br. - Science Museum Design Studio art work;  diagrammatic position of Pole Star",WHOLE,SCM - Art
1962-47,weight driven pendulum clock,Regulator timepiece employing Grimthorpe's four-legged gravity escapement,"Parlby, A. V.",1937,,"wood (unidentified); metal (unknown); glass; brass (copper, zinc alloy); steel (metal); copper (metal)",overall: 1760 x 620 x 260 mm,"Regulator timepiece employing Grimthorpe's four-legged gravity escapement, in wooden case, regulated to show Greenwich Mean Time for use in an astronomical observatory, by A. V. Parlby, c. 1937.",WHOLE,SCM - Time Measurement
1964-10,Quadrant sundial,"Brass dial, 3 1/2 inches square, with moving parts to calcul","Sutton, Henry",1659,,,"overall: 94 mm x 94 mm x 7 mm, 104 mm,","Brass dial, 3 1/2 inches square, with moving parts to calculate time from measurements of sun or stars at any season or latitude. Engraved: ""Henricus Sutton Londini fecit 1659""",WHOLE,SCM - Time Measurement
1878-9,Universal ring sundial,"Universal ring dial, made by Le Marie a la Pierre o' Airman,",,1601-1700,,,length 70 mm; width 70 mm; height 90 mm,"Universal ring dial, made by Le Marie a la Pierre o' Airman, diameter 3 3/4 inches, brass",WHOLE,SCM - Time Measurement
1880-28,Universal ring sundial,"Astronomical circles with compass, brass diam, of largest ri",Macquart,1720,"Paris, Ville de Paris, Île-de-France, France",,length 300 mm; width 300 mm; height 620 mm,"Astronomical circles with compass, brass diam, of largest ring 13in height 1ft, 11 1/2ins base plate 10in square, by Macquart of Paris dated 1720, cleaned and lacquered by Chief att, Dr. Page 5 Aug 1927",WHOLE,SCM - Time Measurement
1930-435,,Apparatus for determining the refractivity of argon,,,,,,Apparatus for determining the refractivity of argon,WHOLE,SCM - Rayleigh
1930-436,,Apparatus to demonstrate the resistance of compound conducto,,,,,,Apparatus to demonstrate the resistance of compound conductors,WHOLE,SCM - Rayleigh
1930-437,,A simple interference apparatus,,,,,,A simple interference apparatus,WHOLE,SCM - Rayleigh
1930-438,,Triple coil mounted in mahogany ring,,,,,,Triple coil mounted in mahogany ring,WHOLE,SCM - Rayleigh
1930-439,,Apparatus to demonstrate the mechanical principles of flight,,,,,,Apparatus to demonstrate the mechanical principles of flight.,WHOLE,SCM - Rayleigh
1930-440,,Reflectors for short sound waves,,,,,,Reflectors for short sound waves,WHOLE,SCM - Rayleigh
1930-443,,Horn with elliptical section (see note),,,,,,Horn with elliptical section (see note),WHOLE,SCM - Rayleigh
1930-444,,Horn with elliptical section,,,,,,Horn with elliptical section,WHOLE,SCM - Rayleigh
1930-445,,Apparatus for demonstrating the interference of sound-waves,,,,,,Apparatus for demonstrating the interference of sound-waves,WHOLE,SCM - Rayleigh
1930-446,,Apparatus for demonstrating the interference of sound-waves,,,,,,Apparatus for demonstrating the interference of sound-waves,WHOLE,SCM - Rayleigh
1930-448,,Multiple pipe for experiments on sound,,,,,,Multiple pipe for experiments on sound,WHOLE,SCM - Rayleigh
1993-710,,"Two electronic clock modules and another electronic module,",,1980-1985,,,,"Two electronic clock modules and another electronic module, interconnected and mounted in one frame, from a TXE4 telephone exchange, early 1980s, for timing calls and setting charge bands",WHOLE,SCM - Time Measurement
1969-513/2,,Double trestle frame for supporting movement of 3-train turr,,,,,,Double trestle frame for supporting movement of 3-train turret clock by E Dent and Co,WHOLE,SCM - Time Measurement
1995-56,,Synchronous motor driven timer of a type used for controllin,Horstmann Gear Co. Ltd. (maker),1940-1974,"Bath, Bath and North East Somerset, England, United Kingdom",,overall: 70 mm x 72 mm,"Synchronous motor driven timer of a type used for controlling street lighting, with subsidiary months dial, patents 448863 and 451447, without switch contacts and in incorrect case, unsigned but made by Horstmann",WHOLE,SCM - Time Measurement
1995-57,,"Synchronous motor driven timeswitch with clockwork backkup,",Horstmann Gear Co. Ltd. (maker),1960-1965,,,"overall: 110 mm x 140 mm x 243 mm,","Synchronous motor driven timeswitch with clockwork backkup, for domestic use, type V Mk II SRS, maker's no.D00350, contacts rated 240V 30A, by the Horstmann Gear Co. Ltd., Bath, England",WHOLE,SCM - Time Measurement
1995-58,,"Synchronous motor driven timeswitch with clockwork backup, f",Horstmann Gear Co. Ltd. (maker),1970,,,"overall: 110 mm x 140 mm x 243 mm,","Synchronous motor driven timeswitch with clockwork backup, for domestic use, type V Mk 5 SRS SEL, maker's no. M51743, contacts rated 80A, UK patent no.824687, by the Horstmann Gear Co Co. Ltd., Bath, England, also marked `Property of SEEB', dated 4/70 on adhesive label",WHOLE,SCM - Time Measurement
1930-404,,Electrical interrupter,,,,,,Electrical interrupter,WHOLE,SCM - Rayleigh
1930-405,,Apparatus for the production of sensitive flames,,,,,,Apparatus for the production of sensitive flames,WHOLE,SCM - Rayleigh
1930-408,,Apparatus for the determination of the constant of magnetic,,,,,,Apparatus for the determination of the constant of magnetic rotation of light in carbon disulphide,WHOLE,SCM - Rayleigh
1930-409,,Hughens gearing to illustrate electromagnetic induction,,,,,,Hughens gearing to illustrate electromagnetic induction,WHOLE,SCM - Rayleigh
1930-410,,Electrical interrupter,,,,,,Electrical interrupter,WHOLE,SCM - Rayleigh
1930-411,,Induction-compensator,,,,,,Induction-compensator,WHOLE,SCM - Rayleigh
1930-412,,Induction-compensator,,,,,,Induction-compensator,WHOLE,SCM - Rayleigh
1930-413,,Coils used as a standard of induction,,,,,,Coils used as a standard of induction,WHOLE,SCM - Rayleigh
1930-415,,Triple coil mounted in mahogany ring,,,,,,Triple coil mounted in mahogany ring,WHOLE,SCM - Rayleigh
1930-416,,Magnetising coil,,,,,,Magnetising coil,WHOLE,SCM - Rayleigh
1930-418,,Zinc bell,,,,,,Zinc bell,WHOLE,SCM - Rayleigh
1930-419,,Apparatus for experiments on the superficial viscosity of wa,,,,,,Apparatus for experiments on the superficial viscosity of water,WHOLE,SCM - Rayleigh
1930-420,,Apparatus for experiments on the superficial viscosity of wa,,,,,,Apparatus for experiments on the superficial viscosity of water,WHOLE,SCM - Rayleigh
1930-421,,Model to illustrate the theory of the Bourdon gauge,,,,,,Model to illustrate the theory of the Bourdon gauge,WHOLE,SCM - Rayleigh
1930-422,,Attracted disc electrometer,,,,,,Attracted disc electrometer,WHOLE,SCM - Rayleigh
1930-423,,Three metal dishes,,,,,,Three metal dishes,WHOLE,SCM - Rayleigh
1930-424,,"Revolving disc; black velvet covered diaphragm, 18"" diameter",,,,,,"Revolving disc; black velvet covered diaphragm, 18"" diameter",WHOLE,SCM - Rayleigh
1930-425,,Rotating holder for Electric lamp,,,,,,Rotating holder for Electric lamp,WHOLE,SCM - Rayleigh
1993-1597,,Electronic clock timer type 774A serial No,Furzehill Laboratories Limited,1946,"Borehamwood, Hertfordshire, England, United Kingdom",,"overall: 555 mm x 360 mm x 330 mm,","Electronic clock timer type 774A serial No. 1805/3 made by Furzehill  Laboratories Ltd, Borehamwood, Hertfordshire, in 1946",WHOLE,SCM - Time Measurement
1994-457,radio-controlled clocks; clocks,"Kundo 'Space Timer' radio-controlled quartz desk clock, 1988.",Kieninger und Obergfell GmbH,1988,Sankt Georgen; Baden-Württemberg; Germany,,"overall: 178 mm x 190 mm x 135 mm,","Kundo Space Timer Clock, synchronised to the 77.5 kHz time signals from the DCF 77 radio transmitter at Mainflingen, near Frankfurt, Germany, made by Kieninger und Obergfell GmbH,  St Georgen/Schw, Germany, in 1988.",WHOLE,SCM - Time Measurement
1991-239,quartz LCD digital wristwatch,"""Wave, water powered watch"" with quartz crystal movement and",,1990,,,"overall: 240 mm x 35 mm x 10 mm,","""Wave, water powered watch"" with quartz crystal movement and digital LCD display. 1990",WHOLE,SCM - Time Measurement
1918-255,Universal ring sundial,"Universal ring dial, unnamed, 4 1/2"", brass",,,,,,"Universal ring dial, unnamed, 4 1/2"", brass",WHOLE,SCM - Time Measurement
1991-426,,"Hewlett Packard caesium beam tube type 05061-6077, from a po",,,,,overall: 410 mm x 130 mm,"Hewlett Packard caesium beam tube type 05061-6077, from a portable atomic clock ( sectioned in workshops)",WHOLE,SCM - Time Measurement
1992-26,,`Synclock' synchronous electric mains clock of the self-star,,,,,,"`Synclock' synchronous electric mains clock of the self-starting type, with spring driven striking mechanism wound by the synchronous motor. Made by Everett Edgcumbe, London, c. 1932",WHOLE,SCM - Time Measurement
1992-27,Vertical plate altitude sundial,Universal altitude sundial in silvered brass by de Peyronny,"de Peyronny; Robert, Henri",1855,,,,"Universal altitude sundial in silvered brass by de Peyronny and Henri Robert. Engraved `Souvenir de l'exposition universelle de 1855, A monsieur Wheatstone hommage de H. Robert' .",WHOLE,SCM - Time Measurement
1992-33,,Autograph time recorder with synchronous mains electric moto,,,,,"overall: 385 mm x 325 mm x 195 mm,",Autograph time recorder with synchronous mains electric motor by the National Time Recorder Company,WHOLE,SCM - Time Measurement
1992-48,,`The Facile' time stamp by Warwicks Time-Stamp Co,,,,,,"`The Facile' time stamp by Warwicks Time-Stamp Co., London N.1.",WHOLE,SCM - Time Measurement
1992-49,,"Time stamp by Warwicks Time Stamps, London c.1963",,,,,"overall: 135 mm x 98 mm x 208 mm,","Time stamp by Warwicks Time Stamps, London c.1963",WHOLE,SCM - Time Measurement
1992-50,,"`The Time-Stamp' by Warwicks Time-Stamp Co, London N",,,,,"overall: 125 mm x 85 mm x 53 mm,","`The Time-Stamp' by Warwicks Time-Stamp Co, London N.1. c.1938",WHOLE,SCM - Time Measurement
1992-51,,"`The Parallel' time stamp by Warwicks Time-Stamp Co, London",,,,,"overall: 236 mm x 152 mm x 138 mm,","`The Parallel' time stamp by Warwicks Time-Stamp Co, London N.1.",WHOLE,SCM - Time Measurement
1992-52,,Machine time recorder in wooden box by Servis of Gloucester,,,,,"overall: 140 mm x 124 mm x 65 mm,","Machine time recorder in wooden box by Servis of Gloucester with spare charts, c.1957",WHOLE,SCM - Time Measurement
1992-194,Ivory diptych sundial,Ivory diptych sundial for latitude 47 degrees by Hanns Trosc,"Troschel, Hans",1578-1631,"Nuremburg, Bavaria, Germany",,,"Ivory diptych sundial for latitude 47 degrees by Hanns Troschel, with vertical and horizontal dial, pin gnomon for Italian & Babylonian hours, lunar volvelle and wind pose. Wind vane, compass needle and cover glass missing. German, c.1628",WHOLE,SCM - Time Measurement
1992-196,,"A key ring advertising the Memon Co-operative Bank, with a p",,,,,,"A key ring advertising the Memon Co-operative Bank, with a plastic disc which can be set to indicate the time in various cities in the world. Indian, 1960s",WHOLE,SCM - Time Measurement
1992-198,,Quarter repeating Swiss chronograph watch with lever escapem,,,,,,"Quarter repeating Swiss chronograph watch with lever escapement, in gold hunter case",WHOLE,SCM - Time Measurement
1992-209,,An ATMOS clock of the earlier design which is rewound by cha,,,,,"overall: 245 mm x 160 mm x 325 mm,",An ATMOS clock of the earlier design which is rewound by changes of ambient temperature. Made according to J L Reutter's Swiss patent of 1929,WHOLE,SCM - Time Measurement
1992-800,,"`Karakuri' quartz clock by the Citizen Watch Co, with automa",,,,,"overall: 780 mm x 360 mm x 260 mm,","`Karakuri' quartz clock by the Citizen Watch Co, with automata depicting Alice's adventures in wonderland, with packaging, 1991",WHOLE,SCM - Time Measurement
1992-1106,electric balance analogue wristwatch,"Timex `Electric' wristwatch, with electrically operated bala",Timex,,,,watch body: 1.6929 x 1.378 x .3937 in.; 43 x 35 x 10 mm,"Timex `Electric' wristwatch, with electrically operated balance wheel mechanism",WHOLE,SCM - Time Measurement
1992-1107,quartz LED digital wristwatch,Fairchild quartz digital wristwatch with LED display. On lea,Fairchild,1970-1979,,,watch body: 1.5748 x 1.378 x .3937 in.; 40 x 35 x 10 mm,Fairchild quartz digital wristwatch with LED display. On leather strap. Serial number 078881.,WHOLE,SCM - Time Measurement
1903-80,nocturnal,Nocturnal,"Yeff, Robert",1702,"Bristol, England, United Kingdom","box (wood); brass (copper, zinc alloy)",overall: 20 mm x 100 mm x 270 mm,"Nocturnal boxwood and brass, by Robert Yeff, Bristol, England, dated 1702.  Owner and user thought to be E. Dartnell",WHOLE,SCM - Time Measurement
1908-163,Analemmatic sundial,"Brass analemmatic sundial, made by R.White, in 1732 construc","White, R.",1732,,brass,"overall: 185 mm x 135 mm x 185 mm,","Brass analemmatic sundial, made by R.White, in 1732 constructed for latitude 52[o]",WHOLE,SCM - Time Measurement
1911-195,Universal ring sundial,"Antique, ring dial by Shuttleworth suspension ring missing,","Shuttleworth, Henry",1760-1811,"London, Greater London, England, United Kingdom",,"overall: 182 mm x 19 mm x 148 mm,","Antique, ring dial by Shuttleworth suspension ring missing, one added by attd W.E. Page 1913",WHOLE,SCM - Time Measurement
1994-579,,FM/AM 2 band solid state clock radio model RM5020 No,,1976,,,"overall: 172 mm x 245 mm x 95 mm,","FM/AM 2 band solid state clock radio model RM5020 No.9023855 made in Singapore by the Sanyo Electric Co. Ltd., with electro-mechanical flip-over digital time display, alarm which switches on the radio, and sleep timer, for operation on 240 volt mains supply",WHOLE,SCM - Time Measurement
1995-45,,Electronic race timing equipment,,1960-1969,,,,"Electronic race timing equipment, c.1960, used by the Hants and Berks Motor Club, comprising electronic timer, start and stop photocells, lamps, connecting units and other components (see part numbers)",WHOLE,SCM - Time Measurement
1930-427,,Siemens tube,,,,,,Siemens tube,WHOLE,SCM - Rayleigh
1930-428,,Five eudiometer tubes,,,,,,Five eudiometer tubes,WHOLE,SCM - Rayleigh
1930-429,,Apparatus used in the isolation of argon,,,,,,Apparatus used in the isolation of argon,WHOLE,SCM - Rayleigh
1930-430,,Clay pipe-stems,,,,,,"Clay pipe-stems, used in experiments on Argon.",WHOLE,SCM - Rayleigh
1930-431,,Voltameter,,,,,,Voltameter (Used in the preparation of Argon).,WHOLE,SCM - Rayleigh
1930-432,,Apparatus for the preparation of argon,,,,,,Apparatus for the preparation of Argon.,WHOLE,SCM - Rayleigh
1930-433,,Apparatus for extracting the gases contained in rain water,,,,,,Apparatus for extracting the gases contained in rain water,WHOLE,SCM - Rayleigh
1995-59,,"Synchronous motor driven timeswitch with clockwork backup, f",Horstmann Gear Co. Ltd. (maker),1974,,,"overall: 130 mm x 135 mm x 203 mm,","Synchronous motor driven timeswitch with clockwork backup, for domestic use, type VA Mk 9D SRS2, maker's no.HJI9772, contacts rated 250V 100A, UK patent no.824687, by the Horstmann Gear Co. Ltd., Bath, England, also marked `Property of SEEB', dated 9/74 on adhesive label, with day-of-week dial and mechanism for preventing operation on any day or night",WHOLE,SCM - Time Measurement
1995-60,,`Advancing dial' as used in Horstmann timeswitches (with mec,Horstmann Gear Co. Ltd. (maker),1950-1974,,,overall: 33 mm x 73 mm,"`Advancing dial' as used in Horstmann timeswitches (with mechanism for omitting one `on' period, or delaying it, on specified days)",WHOLE,SCM - Time Measurement
1995-63,,"Electric timeswitch by Potterton, for controlling a central",Horstmann Gear Co. Ltd. (maker),1960-1979,"Bath, Bath and North East Somerset, England, United Kingdom",,"overall: 105 mm x 84 mm x 62 mm,","Electric timeswitch by Potterton, for controlling a central heating and hot water system, with type 423/Diamond movement made by the Horstmann Gear Co. Ltd., Bath, England",WHOLE,SCM - Time Measurement
1930-458,,Multiple resonator,,,,,,Multiple resonator,WHOLE,SCM - Rayleigh
1930-460,,Diagram for stroboscopic speed regulation,,,,,,Diagram for stroboscopic speed regulation,WHOLE,SCM - Rayleigh
1930-461,,Apparatus for the investigation of the passage of sound thro,,,,,,Apparatus for the investigation of the passage of sound through a narrow slit,WHOLE,SCM - Rayleigh
1930-462,,Apparatus for the elimination of reflected sound-waves (2 la,,,,,,Apparatus for the elimination of reflected sound-waves (2 large cardboard discs),WHOLE,SCM - Rayleigh
1930-463,,Apparatus for the elimination of reflected sound-waves (2 ti,,,,,,Apparatus for the elimination of reflected sound-waves (2 tinplate discs),WHOLE,SCM - Rayleigh
1930-465,,Lantern slides to illustrate a method of enhancing photographic gradation,,,,,,Lantern slides to illustrate a method of enhancing photographic gradation,WHOLE,SCM - Rayleigh
1930-466,,Apparatus for the demonstration of fluid motion (Brass tube,,,,,,Apparatus for the demonstration of fluid motion (Brass tube with wax lining),WHOLE,SCM - Rayleigh
1930-467,,Apparatus for the demonstration of fluid motion ( 4 cardboar,,,,,,Apparatus for the demonstration of fluid motion ( 4 cardboard templates),WHOLE,SCM - Rayleigh
1930-468,,Apparatus for the demonstration of fluid motion ( 4 cardboar,,,,,,Apparatus for the demonstration of fluid motion,WHOLE,SCM - Rayleigh
1930-469,,Apparatus for experiments concerning aeolian tones (metal pi,,,,,,Apparatus for experiments concerning aeolian tones (metal pipe with wood cross piece),WHOLE,SCM - Rayleigh
1930-470,,Further apparatus for experiments concerning aeolian tones (,,,,,,Further apparatus for experiments concerning aeolian tones (metal pipe with cork and wire loop),WHOLE,SCM - Rayleigh
1930-471,,Further apparatus for experiments concerning aeolian tones (,,,,,,Further apparatus for experiments concerning aeolian tones (Glass pipe with cork and wire loop),WHOLE,SCM - Rayleigh
1930-472,,Metal dish,,,,,,Metal dish,WHOLE,SCM - Rayleigh
1930-473,,Apparatus for experiments on the lubricating and other prope,,,,,,Apparatus for experiments on the lubricating and other properties of thin oily films,WHOLE,SCM - Rayleigh
1930-474,,Apparatus for the demonstration of fluid motion (revolving m,,,,,,Apparatus for the demonstration of fluid motion (revolving metal vane on brass stand),WHOLE,SCM - Rayleigh
1930-475,,Apparatus for measuring very small pressures,,,,,,Apparatus for measuring very small pressures,WHOLE,SCM - Rayleigh
1930-476,,Two globes used in determining the densities of gases,,,,,,Two globes used in determining the densities of gases,WHOLE,SCM - Rayleigh
1930-477,,Wooden stand with 3 levelling screws,,,,,,Wooden stand with 3 levelling screws,WHOLE,SCM - Rayleigh
1969-283,,"Colour photograph of Terling Place, Chelmsford, Essex, the h",,,,,,"Colour photograph of Terling Place, Chelmsford, Essex, the home of the Barons Rayleigh, seen from the air.",WHOLE,SCM - Rayleigh
1930-478,,""" A Groves or Apps motor, for driving colour wheels""",,,,,,""" A Groves or Apps motor, for driving colour wheels""",WHOLE,SCM - Rayleigh
1930-449,,Manometer,,,,,,Manometer,WHOLE,SCM - Rayleigh
1930-450,,Large wooden trumpet,,,,,,Large wooden trumpet,WHOLE,SCM - Rayleigh
1930-452,,Apparatus for the investigation of the perception of sound d,,,,,,Apparatus for the investigation of the perception of sound direction,WHOLE,SCM - Rayleigh
1930-453,,Apparatus for experiments on the perception of sound directi,,,,,,Apparatus for experiments on the perception of sound direction,WHOLE,SCM - Rayleigh
1930-454,,Apparatus for experiments on the perception of sound directi,,,,,,Apparatus for experiments on the perception of sound direction,WHOLE,SCM - Rayleigh
1930-455,,Apparatus for experiments on the perception of sound directi,,,,,,Apparatus for experiments on the perception of sound direction,WHOLE,SCM - Rayleigh
1930-456,,Multiple resonator (with -458),,,,,,Multiple resonator (with -458),WHOLE,SCM - Rayleigh
1930-457,,Apparatus for experiments on the perception of sound directi,,,,,,Apparatus for experiments on the perception of sound direction,WHOLE,SCM - Rayleigh
1987-475,,"Rotation apparatus, of unknown function and probably incompl",,,,,,"Rotation apparatus, of unknown function and probably incomplete, comprising wooden base with crank handle and hidden cord drive to a vertical spindle, one ebonite (?) disc for fitting at base of spindle, seven black-painted glass discs with circular wave patterns incised in the paint, one glass disc with the remnants of 'smoking' on it, and one clear glass disc, all in a deal box fitted with twelve slots for discs and an oversized compartment for the base unit.",WHOLE,SCM - Microscopes
1987-474,,Volta-type gun,,,,,,Volta-type gun,WHOLE,SCM - Microscopes
2005-7506,volume,"Ramsden Dock - Report of Tides, Weather, Gates &c.",Furness Railway; Port of Barrow,1881-12-06 to 1885-11-21,Barrow-in-Furness,paper; card,overall: 335 mm x 215 mm,"Furness Railway / Port of Barrow printed volume ""Ramsden Dock - Report of Tides, Weather, Gates &c."" containing details of tide heights, wind direction and force, weather conditions, number of vessels in and out, time of opening of gates etc. at Ramsden Dock, Barrow-in-Furness.  Entries run from 6 December 1881 to 21 November 1885.",WHOLE,NRM - Documents
1937-602,telescope - terrestrial; telescope - refracting,"Terrestrial draw-tube Telescope, late 17th Century",Unknown maker,1675-1700,"London, Greater London, England, United Kingdom",rosewood; rosewood; glass; vellum; incomplete,overall (closed): 550 x 100 mm,"Terrestrial draw-tube telescope (9-draw), London maker, with painted vellum tube and rosewood eyepiece and lens mounting, 1675-1700.",WHOLE,SCM - Optics
1937-629,telescope - terrestrial; telescope - refracting,"Terrestrial telescope by Giuseppe Campani, Rome, c.1680.","Campani, Giuseppe",1675-1685,"Rome, Italy",leather; box (wood); glass; paper; cardboard,"overall (closed): 940 mm x 70 mm, 1.215kg","8-draw terrestrial telescope (Italian) by Giuseppe Campani, c.1680, complete with object lens, three eye lenses and cover for object glass (cover for eyepiece is lacking)",WHOLE,SCM - Optics
1938-126,optometer,"Davidson type Optometer, apparatus for ophthalmic testing, u",,1875-1885,,"metal; brass (copper, zinc alloy); mahogany (wood); glass; paper; cardboard; lead; felt","overall: 575 mm x 540 mm x 490 mm, 5.34kg","Davidson type Optometer, apparatus for ophthalmic testing, unsigned, British, c.1880.  Consists of two mahogany discs rotating on axis and having lenses mounted on the periphery, mounted on a brass stand, (one lens lacking)",WHOLE,SCM - Optics
1938-127,,"Placido Disc, used for testing astigmatism of the cornea",,,,,,"Placido Disc, used for testing astigmatism of the cornea, consisting of circular disc marked with black and white circles and supported on a handle",WHOLE,SCM - Optics
